,tunes
0,"F,2D2EDF2A2B2d4|BdB2e2d2G2A2FEA2|D2E2AG2AF4G4|B4G2E2D4E,2F,2|D2E2F2E2E2F2A2F2|F2B2DE3GF3B3d|d2fgg2e2de2fg2e2|f2e2d4d2G2FED2|F,2D2D2FEA2B2d2Bd|B4e2d2G3AE2G2|DF,E2GFG2E3FG2AG|d2B2G2E2E2D2F,4|F,2AGBdBAG2A2E2d2|B2A2A3BB2d2d2ed|g4g2f2e2fgf2e2|e2dBA3BA3dg2f2"
537,"d4F2A2E4E2D2|G2A2G2F2E2F2A4|d2ABD2G2D2GAD4|E2F2FEF2D4FE3|d4F2A2F2E2E2D2|G2A2GAF2D4B2D2|BdA2e2Bde2dBdeG2|D2G2D4BAd2e2f2|e2f2d4d4B2d2|e2d2e2d2f2d2d2e2|g2e2F2B2D2B2F2A2|A2G2A2B2E2G2d2BA|e2f2d2edd4B2d2|e2d2B2d2B2GAA2FE|Bd2Bg2e2g2d2ABF2|AGE2D2F,2F,E,DEE2F,2"
538,"A2GFE2D2D2E2F2G2|F4GFG2E2F2G2A2|D4F,2D2F,2D2F,2D2|D4F3GG2F2A4|A2G2E2D2D2E2F2G2|F4G4E2F2A2G2|D2E2D4E2G2B2A2|B4F4FEDEE4|A2G2E2D2D2E2F2G2|F4G4E2F2G2A2|D4F,3DF,2D2F,2D2|D4F3GGF3AG2A|A2G2E2D2D2E2F2G2|F4G4E2F2G4|D2FED4E2F2G2A2|d2B2A3BFGEDD2F,2"
539,F2E2GFd2e4e2d2|e2f2f2e2dBd2e2de|d3ed4d2e2e2g2|g4g4g4f2BA|gfg2e2B2A2B2d2AB|B2d2d4e2f2g4|g4g4g4g2d2|e4B2A2d2GAA2ED|G2EDF2d2e4e2B2|e2f2f2e2B2d2d4|d4d3Bd2e2e2g2|g4g4g4g2A2|dBe2d3Bd2e2d2e2|d4e2d2e2f2e2g2|g4g4g4g2de|efe2d4B2e2g4
540,D2E2DEA2G2F2D2F2|E2D2E2d2f2g2f4|d2B2A2d2d2BAG2B2|d2e2d4B2A2F4|DE3EDA2G2F2D2F2|E2D2E2d2f2g2f4|d2B2A2dBd2e2d2AB|A4A2G2A4G2EF|E4D2A2G2F2D2G2|E2D2E2d2f2g2f4|d2B2A2d2d2B2GFB2|d2e2d3BB2A2E2A2|E4D2ABG2F2D2G2|E2D2E2d2f4f4|d2B2A2d2d4dBd2|BdA2d2B2dBABB4
541,d2f2e2f2f2d2d2f2|B2A2G4A2G2A2B2|d4d4f4f2e2|f2e2e2d2d2A2B4|d2f2e2f2f2d2d2f2|B2A2G4A2G2A2B2|G2E2E4E2D2D2FG|dBf2e2dBA2G2GA3|d2f2e2f2f2d2d2f2|B2A2G4B2G2A2B2|Bd3e2d2f4f2e2|f2e2e2d2d2A2B2A2|d2f2e2f2f2d2d2f2|B2A2G4B2G2A2B2|A2EFFE3D4EFGF|B2e2f2d2B2GFG3A
542,"D3ED2F,2D2E2D4|F,4F,2D2F,2D2F,4|E,2D2D2E2E2A2B4|d2B2BdBAe2d2f2e2|fefeBd2ee2dBA2G2|ded2e2B2F2D2E,2F,2|E,2EFG4A4BAB2|d2A2GAB2F2E2E2G2|DF,D2D2F,2D2E2D4|F,4F,2D2F,2D2F,4|E,2D2D2E2FEA2A2B2|d2B2BdB2f2e2g2d2|f2e2e2fee2A2EFAF|B2A2d2FGGFE2F,4|F,2E2BAG2G2B2B4|d4B3dFGD2D2Bd"
543,e4d2e2B2A2F3G|B2E2d2A2g2B2e4|e2d2d4d4A2G2|A2F2f2deg2f2d4|e4d2e2B2A2F2G2|B2E2d2A2g2B2e4|e2d2e2d2d2e2e2d2|BABAd2G2B2F2AGA2|e4d2e2B2A2F2G2|B2E2d2A2g2B2e4|e2d2d4d4A2G2|AGFGf2d2g2f2d2e2|e4d2e2B2A2F2G2|B2E2d2A2g2Bde4|e2d2e3df2d2e2d2|d2B2d3BA2B2ABd2
544,"EDABB4d3Bd2A2|d2B2d4AG2FD4|D2F2A4G2F2A4|A2G2F2E2E2F,2F,4|FEF,2GAFGE2AGB2G2|F2E2e2dBd2AGE2B2|A4A4G4A4|A2G2F4DEF,2F,4|f2g2g2f2f2g2f2e2|f4g2feB2d2B2d2|d2fef2e2ed3d2A2|G2A2F2E2E2D2F,4|FDE2BAB2efe2ded2|e2d2f2A2e2dBd2e2|g2d2d2B2A2d2dBA2|F2G2E2F2E2D2DF,D2"
545,"F2B2B4BdB2GAE2|B2A2e2B2ABA2B2G2|F2A2BAe2A2B2A2FG|D4E2F2G2DEE2G2|D4E2DED2E2A2EF|FEA2EFE2F4FGd2|B2d2d2A2e2fgg2e2|e2d2BdA2A2F2FGF2|F2G2B2A2B2A2A2E2|A2G2e2B2A2G2A2G2|F2A2A2d2G2ABA2F2|D4EF3G2E2FEF2|E,2F,2F,2D2E2D2D2F2|E2GFAGF2FGA2GFd2|d2B2dBGFd4g2f2|f4d2B2ABF2AGAG"
546,B2f2d2B2A4B4|d2B2g2d2e2dBA2G2|B2GAA2F2G4A2BA|B2ABd3eB2dBG2F2|B2f2d2B2A4B4|d2B2g2d2e2d2e4|f3ee4ed3de3|d4e2GAe2d2e3d|B2f2d2B2A2B2B2d2|d2B2g2d2e2B2A2GA|B2G2G2E2F4GAB2|A4d4A2d2GFE2|B2f2d2B2A2B2B3d|d2B2g2d2e4e2f2|fe3d2e2d3BB2e2|d2fef2BAd4deB2
547,e2G2A2E2d2BAB2d2|B2G2B2A2d2A2B2d2|g2e2d2edg2d2e2d2|d2B2A3Bd2BAA2BA|d2GAG2F2d2BAB2d2|B2G2B2A2d2A2B2d2|D2d2AGABBAf2fgf2|efd2A4GFEDD4|e2FGA2E2d2A2B2d2|B2G2B2A2d2A2B2d2|g2e2d2e2g2d2e2d2|d2BAA2B2d2B2B2d2|deF2A2E2d2A2B2d2|B2G2B2A2d2A2B2d2|F2d2d4Bdf2f2d2|e2d2A2BAG2FGF2E2
548,d2e2d4e2d2e2d2|e2g2f2d2e2d2d2B2|d2B2G2A2d2A2A2B2|B2e2f2B2d4A2BA|d2e2d3ee2d2e2d2|e2g2f2d2e2d2d4|d2B2G2ABd2A2A2B2|B2e2f2B2f2e2d2e2|A2d2d2B2e2d2d4|d2BdB2e2e2A2B2F2|F2E2AGE2G2d2e2dB|d3efe2dB4F2E2|A2d2d2B2e2d2d4|d2B2B2e2e2A2A2B2|B2A2G2d2d2e2f4|d2fgg4g4g4
549,"e4e2d2e4B4|d2F2A2G2e2F2GFD2|e2d2d2B2e4d2AB|A2G2ABG2d4e2d2|e4e2d2e4B4|d2F2A2G2d2F2E2F,2|E,2F,2DF,2DE2GAGAF2|E2G2B2A2A3GA2F2|de3e2d2e4B4|d2F2A2G2e2GFG2D2|d2Bdd2B2e4d2BA|A2G2B2G2d4e2d2|e4e3de4dB3|d2F2A2G2d2G2FGD2|D4D2EFEFGFG2F2|EFG2A2B2A3GB2d2"
550,d2G2B2d2f2d2f2d2|d2B2d2f2e2B2B3d|f4g2e2g2fgg2ef|d4d4d4d4|d2A2B2d2f2d2f2d2|d2B2def2e2B2B2d2|e3dB2d2F2A2DEB2|B2d2d2A2G2B2B2d2|f2efe4f2e2f2e2|e2d2d2f2e2B2B4|g4g2f2g4g2fe|dBd2d4d4d4|f4e4f2e2f2e2|e2d2d2f2e2B2B2d2|d2A2AB2AFGE2D2FG|e2d2d4B4B2A2
551,"E,4E,2D2F2G2A4|G2A2EDA2D2G2E2B2|D4F2d2d4B2G2|F2BdA3BE2D2E,4|E,4E,2D2F2G2A4|G4ABd2d2BAB2GF|E2D2F2d2d4A2G2|A2E2FE2DEG2FABd2|E,4E,2D2F2G2A4|FGA2E2A2D2GAE2BA|D4GFd2d4B2A2|F2B2A3BF2D2F,2E,2|E,4E,2F,2DED2F,2E2|G2E2F2GAd2A2e2G2|E2D2GFd2d2e2d2AB|G4G2EFD2GAd2D2"
552,"D2F2E2F2G4G3F|A4f2B2G2A2AG3|D4D2B2E2GAD2F,D|F,4E2D2DED2EDG2|D2F2E2F2G4G2FG|A2BAd2G2G4G2A2|D4FED2D2d2fge2|d2F2A2D2E2D2DED2|D2F2F4G4G2FG|A4feB2A4G2F2|D4D2A2E2G2D2F,2|F,4E2D2D2F,2D3E|D2F2F4G4G4|A4e2ABA4A4|GFE2AGD2E2GAf2d2|d4AGB2A2F2dBA2"
553,"B2E2F4A4A2d2|A2G2F4E4D4|E2D2D2F,2F2E2G4|A4B2A2G2A2A2B2|B2F2F4A4A2d2|BA3F4E4D4|E2D2E2G2d2B2B4|B2A2B2AGFE2FA2B2|B2F2E2F2A4A2d2|A4F4E4D4|E2D2D4F2EFG4|A4B2A2G2A2GAB2|B2F2FEF2A4A2d2|A3GF4E3FD4|E2D2F2A2d2B2d2B2|A4B2A2F2G2A2Bd"
554,"G4F4E2FEE2F2|D2F,2D4D2F2A2B2|A4Bde2B2A2A2d2|E4D2B2F2D2E2DE|G2E2EF3F2E2E2F2|D2F,2D4D2G2A2B2|A4d2e2B2A2A2d2|E4D2B2F2D2E2D2|A3BGF2GE4F2ED|D2E2ED3D2E2E2G2|B2d2d2e2dBA2A2d2|E4D2A2FED2D4|D2F,2D2F2B2E2F2ED|D2E2E2D2D2E2E2G2|B2d2d2e2B2A2A2d2|E2D2D2B2E2D2D4"
555,E2DEG2D2d2G2A2G2|E4d2E2A2G2G3F|E4G2D2d2A2d2F2|F2EDFGFGE3DD4|E4G2D2d2AGA2G2|FE2Fd2E2A2G2G3F|F2GAA2dBA2B2d2e2|e2d2BAG2E2D2D4|E2D2G2D2d2G2A2G2|E4d2F2A3GG4|E4G2D2d2ABBdF2|GFE2G4E2DED4|DE3G2D2d2G2A2G2|E4d2F2A4G2F2|F2G2G2d2A3Bd2fg|f2e2d2A2E4D4
556,"F,2F2FEG2A4A2F2|E2GFG3AE2FED2F2|G2A2A2B2AGB2F3G|F2BdB2G2G2EDD2E2|F,2F2F2G2A4A2F2|E2A2F4A2EFd2BA|e2d2f2e2efeff2dB|B4FGE2D4D2F2|F,2G2E2G2A4A2G2|E2F2G4EDE2D2F2|F2A2A4G2B2E2F2|F2BdBAG2G2D2D2E2|F,2G2E2G2A4A2G2|E2F2D2E2A2F2BAB2|d4f2d2d3ee2A2|B2A2F4D4F2E2"
557,"F,2A2B4B2d2d2e2|F,2D2E2GAA2G2A2F2|F2B2e2B2e4d4|G2AGB4A2E2E4|F,2A2B4B2d2d2e2|F,2D2E2A2A2G2A2d2|f4f2g2g4f3e|e2d2d2B2A2FEE4|F,2A2B4B2d2d2e2|F,2D2E2A2A2G2A2F2|F2B2e2B2e4d4|F2G2d2B2A2F2E2D2|F,2A2B4B2d2d2e2|DF,D2E2A2A2G2B2e2|g2e2e2f2f2e2gf3|f2e2ed3G2F2AGB2"
558,"F,2D2E2A2d4d2B2|AG3d2e2A2B2d4|GFB2d2B2d2BAd4|f2e2d4B2G2E2F,2|F,2DF,E2A2B2d2B4|GAG2A2G2dB3d2e2|f4f4e2f2ed3|BdA2GFE2D4D2F,2|F,2D2E2A2d4dB3|A2G2d2e2A2B2d4|GFB2d2BAd2B2B2d2|f2e2d4B2G2F2D2|E,2F,2F,D3G2E2D2A2|E2FEF2EFd2FGE2B2|ef3e4e2f2e2Bd|d3BA2G2F2E2AGF2"
559,AGd2A2G2d4A4|A2G2F3GD2G2E2FG|F2B2A2B2AGd2B2d2|A2G2F2D2ED3GABA|e2A2BdA2D2d2f2d2|f2e2e3dd2G2BAB2|B2A2BdA2d2A2d2B2|d2e2fef2f2G2BAde|B4B2FGBd3G4|G4E2FED2F2D2F2|F2A2A2B2G2B2B2d2|G2F2F2D2FED2B2FG|AFB2BAedded2e2d2|d3Be2BAG3FGA3|BdA2B2G2AGB2d4|e2f2e2g2f2d2BdA2
560,"D2F,2D2E2F2E2F2E2|D2E2D2F,2F,2D2B2F2|EF3A2B2B2A2B2FG|E2D2D2EDD2E2E2D2|F,DF,2D2E2F2E2F2E2|D2E2D2F,2F,2D2B2F2|F4A2B2B2AGF2DE|D4D4D2FEA2de|ABG2A4G2A2B2A2|A2d2B2G2ABd2e2B2|d2e2e4A4A2G2|F2D2D2E2D2FEF2AG|ABG2A4G2AGB2A2|A2d2B2G2B2d2e2B2|d2e2e3dABA2EF2E|E2D2E4F,2D2F,2D2"
561,A2B2B2ABe2B2d2e2|d2e2d2e2d2A2A2B2|d2fgg4g4g2ef|e4f2e2d2B2A4|A2B2dB3e2B2d2e2|d2e2d2e2d2A2B4|d2e2f2g2g2edFGd2|de3d2A2E2FGFG2F|A2B2dB3e2dBd2e2|d2e2d2e2d2A2B4|d2g2g4g4g2f2|e4f2efd4G3F|A2B2BdB2e2d2d2e2|d2e2d2e2d2A2B4|d2e2feg2g2d2F2d2|e3de2d2d2BAA2d2
562,"F,2E2F4E2F2E4|F,2D2E2G2B2A2A2GF|FG2AA4F4F2E2|D2F2F2A2B2F2B2G2|F,2F2G2F2E2F2E4|D4E2A2B2A2A4|A3GE2D2F2d2FGE2|F4E4D4D4|F,2F2G2F2E2F2E4|F,D3E2A2B2A2A2G2|F2AGA4F4F2EF|D2FEF2A2B2F2A2F2|F,2F2G2F2E2F2E4|D4FEA2B2A2B2A2|E2GFDE2FA2B2G2F2|B2A2G2F2F2E2E2DE"
563,"d2e2g2f2f4e2f2|d2ABG2e2d2D2F2B2|f2e2e4g2e2fe3|d2f2e2B2A2d2d2fg|GAe2g3ff2g2e2gf|d2B2GAe2d2D2F2B2|f2e2e4g2e2f3e|d2f2e2B2A2d2d2e2|F,3E,F,4F,4D4|DF,3F,2D2F2F,2D2F2|A2D2D2E2G2A2E2G2|A2e2BdB2AGB2Bd2e|F,2E,2F,4F,4D4|DF,3F,2D2F2F,2D2F2|A2D2D2E2AGAGE2FG|A2e2BdB2G2B2B2d2"
564,e4e2d2f2d2e4|e2d2g2e2g2d2e2f2|f2edf2G2g2f2fge2|f4f2e2e4e2d2|e4e2d2f2d2e4|e2d2g2e2g2d2e2fg|g4g4f2eff2d2|e3dA2G2A2FGG2AG|e4e2d2f2d2e4|e2d2g2e2g2d2e2f2|f2def2GAfgf2f2e2|f4f2e2f2e2d2e2|e4e2d2f2d2e4|e2d2g2e2g2d2d2g2|g4g4g2fed2Bd|e2d2B3AB4Bd3
565,"G4F4E2AGD4|F,2D2F2E2G4A2G2|G2B2A2B2A4D4|D2GAG3AF2D2D2E2|G4F4E2A2D4|F,D3F2E2G4A2G2|G2A2G2A2B4A2B2|B2AGA2BAd2B2dB2d|F2G2F4E2A2D4|F,2D2F2E2G4A2G2|G2B2A2BAA4D4|D2GAF2GFE2D2D4|F2G2F4E2A2D4|D4F2E2G4A2G2|G2B2A4B4B2d2|d2BdBAd2d4B2d2"
566,"F,2E2D2EFG4F4|FEA2d4B2A2GFGA|EF3A2G2D2F2F2E2|F2G2E2D2F,DF,2D2F,2|d2DF,EGEDD2F2d2F2|D2F2A2G2B2GFBdB2|d2f2f2e2ABG2A2F2|A2BdA3BABFGGFD2|D4D2E2E2F2E4|E2A2d2B2A2F2E2F2|E2FEG2FED2E2F2EF|G4E2D2D2F,2EDE,2|DF,GFFE3FGE2D2GF|A2D2B2E2G2D2DEAG|e4f2d2AGd2ABG2|B2A2G3AFEGAB2D2"
567,B2A2B4B2d2B4|B2A2B4d4B4|B4B4d4d4|d2e2B4BA3B2d2|B4B4B2d2B4|B4B4d4B2dB|B4A4A4DED2|D2E2E4E4F2G2|B4B4B2d2B4|B4B4d4d4|B4B4d4d4|e4B2A2A4A2Bd|B4B4B2d2B4|B4B4d4Bd3|B2GAG2A2B2A2G3F|G4G2A2A2G2A2B2
568,A2G2A4A4B2F2|A2B2B2F2G2F2F2G2|G2FEG2A2A4ABG2|GA3d2B2A2F2E4|A2G2A4BA3B2G2|A2B2B2F2G2F2F2A2|G2F2G2A2A4B2G2|A4d2BAA2F2E2G2|e2f2e2d2e2d2d2e2|d2e2B2e2d4B2A2|B2e2d2B2B4B2dB|A2F2BAF2G2F2E4|e2f2e3de2d2d2e2|d2e2B2e2d2B2AB2d|d4d4B4d4|d2e2d4B4E4
569,A2E2B2d2d2B2A4|G4F2G2B4B2d2|d2e2e2f2f2e2e2g2|g4f4f2e2e4|GFd2AG2Ad2BAB4|d2A2G4B4B2d2|d4B4B2d2B2FG|G2FGG3EED3DED2|F2E2A2d2d2B2B2A2|G4F2G2B4B2d2|d2e2e2f2f2e2e2g2|g4fgf2g2f2f2e2|d2GFABG2B4ABA2|A4G4B4B2d2|d4d2BAABd2B2A2|ABA2A4FE2FFEAG
570,"BdGFAG3B2A2E2F,2|D2F2F2E2DEA2d4|d2BdBA3BABdA2Bd|FEA2F2d2d2A2GFA2|AEFAD4A4E2F,2|D2F2F2E2E2A2d4|d2f2g4g2f2efe2|e2d2d2AGE2GFFGA2|d2G2F4B2A2E2F,2|D2F2F2E2E2A2d4|d2B2A4BAB2A2B2|EFA2F2d2d2A2F2A2|F2D2F,2D2B2A2E2F,2|D2F2F2E2E2A2d4|d2f2g4g2f2e2de|e4ed3F2d2BA2B"
571,"E2e2B4A4B4|d4d2A2d2G2BdD2|dBd2d2A2A4AB3|AG3A2F2D4F,D2F,|E2e2B4A4B4|d2e2e2d2ed3g4|g4f2e2d2B2e2f2|g4f2e2fgd2B2de|GFf2e4e2d2A2d2|ed3efe2f2B2e2G2|e4e2B2B4d4|B4d2A2F2E2D3F,|G2f2e3de2d2B2d2|e4f2g2g4A2g2|g3ff2e2e2B2e2g2|g4g4g4f2ed"
572,"d2E2A2D2E2D2d2E2|B2A2A2E2B2F2A2F2|d2E2AGD2GAD2B2D2|F4F,2d2A2E2E2G2|d2EFA2D2E2D2d2EF|B2A2A2E2B2F2A2G2|F,2EFD4A2f2e2BA|A2G2F,2d2A2E2E3F|d2E2A2D2E2D2d2EF|B2A2A2E2B2GFA2G2|d2E2A2D2A2D2B2D2|F2GFD2d2A2E2E2A2|d2E2A2D2E2D2d2F2|B2A2A2E2B2G2A3G|F2AGE2B2d2e2d2F2|F4D2d2A2E2F4"
573,"B2A2A2EFA2F2G2F2|G2E2AGF2A2F2A2d2|B2d2d4d2A2A4|d2g2f4f4f2de|B4A2F2A2F2G2B2|A2d2G2B2AGB2B2d2|d2f2e2B2F2def2e2|e2d2G2F2FE3E2F,2|B2EFG2EFA2F2F4|F2E2F4A2FEAGd2|B2d2d4d2ABA4|d2f2f4gf3g2d2|deB2d2F2A2F2G4|AGAGBABdB2ded2ed|f4e2ABF2deg2d2|e2d2A4GFE2E2F,2"
574,D2E2F2G2d2B2e2G2|e4B2d2B2d2d4|D2F2B2ABe2BAd2E2|ABF2D4E2D2D2GF|D2E2F2GAd2B2e2G2|e4B2d2B2d2d4|f2B2f2ede2g2f4|d3BEFEFE4E2G2|D2E2F2AGd2B2e2G2|e4B2d2B2d2d4|D2E2B2A2d2A2d2E2|A2E2D4E2D2E2AG|D2E2F2G2d2B2e2G2|e4B2d2B2d2d4|fed2ede2e2dee4|d4d2B2AGE2FEG2
575,G2D2B2D2d2F2B4|d2B2B2d2e2A2A2FE|E4B2D2d2GFA2G2|d4GAG2E4D4|G2D2B2D2d2F2B4|d2B2B2d2e2A2A2FE|E2G2A2EDA2F2E2A2|B2A2A2G2E2F2D4|G2D2d2D2d2GFB4|d2B2B2d2e2A2A2F2|E4B2D2d2F2B2F2|d4A2G2F4D2E2|G2D2d2D2d2F2B4|d2B2B2d2e2A2A2F2|E2F2A2D2B2F2GFA2|B2A2A2G2F4D2GF
576,D2E2D2F2D2F2G2B2|B2A2d2B2d4d2e2|A2F2D2E2F4F2A2|B4A2F2F2E2D4|D2E2D2G2D2F2G2B2|B2A2d2B2d4d2e2|B2F2D2E2F2GFG2A2|B4A2F2F2E2D4|D2FED2G2D2F2A2B2|B2A2d4d2Bdd2e2|B2A2G2F2G2F2G2A2|B4A2F2G2E2D4|D2F2D2G2D2F2A2B2|B2A2d4d2B2d3e|d2B2G4G2F2G2A2|B4A2GFG2E2D4
577,"D4D2E2G2E2G2F2|G4A2B2A2G2G4|E2D2F,2A2D3ED2E2|E4D2E2D2F,2F,2ED|D4D2E2G2E2G2F2|G4G4G4A2G2|B4f2d2d2e2e2d2|A4A2E2EFA2GAE2|DED2D2E2G2EFG2F2|G4A2B2A4G4|E2D2F,2A2D3ED2EF|DE3D2E2D2F,2F,2D2|F,4F,2D2F2E2E2F2|F2EFD2E2F2G2A2F2|G2F2f2d2e2g2e2d2|A4G2E2D2ABdBF2"
578,"G2F2GFA2G2A2B4|A2B2B2A2G4E2D2|E4E2G2F2A2AGA2|F4E4EDE2D2F2|G2F2GFA2G2A2B4|A2B2B2A2G4E2D2|E4E2A2F2A2G4|FE3F3ED2FEA2F2|A2F2F2A2G2A2B4|A2d2B2A2G2A2E2D2|E2F2E2A2G2A2A4|G4E4D2E2D2FE|A2F2F2A2G2A2B4|A2B2B2A2G2A2E2D2|E2F2E2A2G2A2A4|E2D2E2D2D4DF,3"
579,"F,DF2F4F4GA3|B2A2d2A2G2F2E2D2|F,2D2D2E2E2F2G4|A2F2F2D2D4F,2D2|F,2F2F4F4A4|B2A2d2A2A2F2E2D2|F,2D2D2E2E2F2G4|A2F2F2D2E2D2D2E2|E2B2AB3d4B4|B4B3dB2A2G3F|G2A2GA3B2d2A2G2|G2F2G2D2D4F,2D2|E2B2A2B2d4B4|B4AB3B2A2G3F|G2A2G2A2B4A4|B2A2F2E2E2D2F,4"
580,"D2F,2D2F2A2G2G2A2|G4F2E2E2F2F,2D2|F,4E2FGG2B2B4|A2G2G4F4A3B|D2F,2D2F2A2G2G2A2|G4F2E2E2F2F,2D2|F,4E2F2E2G2A3B|BAG2G4F4G2A2|D2F,2D2F2G4G2A2|G4F2E2E2F2F,2D2|F,2D2E2F2G2B2B4|B2AGG4F4G2A2|F,2E,2F,2E2A2G2A4|G4F2E2E2F2F,2D2|F,4D4D2G2BAB2|B2G2G4F4E2F2"
581,B2G2E2d2B2G2E2F2|A2E2A2d2B2dBA2d2|d2A2A2d2d2A2F4|F2E2A4F2E2F2GA|B2G2E2d2B2A2E2F2|A2E2A2d2dBd2A2d2|d2A2A2d2d2A2A3B|BdG2GFE2EFG2B4|B2G2E2d2B2A2F4|A2G2A2d2B4A2d2|d2A2A2d2d2A2F2E2|E4A2GAF4G2B2|B2G2E2d2B2A2F4|A2G2A2d2B4A2d2|d2A2A2d2d2A2A2BA|A2F2D2EFE2F2F4
582,"F,2DF,F,2D2F,2D2D2FE|G2E2FE3G2F2E2G2|E2D2D2F2F,4F,4|F,2D2D2F,2F,4E,2F,2|E,F,D2F,2D2F,2D2D2F2|G2E2E4E2G2BdA2|F4A2GFEFd2B2AB|dBA2F3GE2D2D2F,2|F,2D2F,2D2F,2D2D2F2|G2E2F2E2G2F2E2GF|E2D2D2E2F,4F,4|F,2D2DF,3F,4E,2F,2|F,2D2F,2D2F,2D2D2F2|G2E2E4F2GAd2A2|E4G2A2A2d2A3B|G4F2E2D4D2F,2"
583,B2G2G4B2G2A2G2|A2B2d2B2BdA2E2F2|A2E2EFE2A2E2F2D2|E2F2d2E2G4AGd2|B2G2AG3B2G2A2G2|A2B2d2B2d2A2E2F2|BAE2E4A2F2F2D2|E2F2d2E2G2AGA2d2|B4A4B2e2e2f2|d2B2GAd2BA3d2B2|GAG2E2FEA2d2d2e2|d4d2AGG4G2e2|B4A4B2e2e2fe|d2B2GAd2BA3d2B2|A3BGAB2B2d2d2e2|d4d2A2G4G2d2
584,A2F2F2A2G2F2F2A2|A2G2d2G2d2F2A2B2|B2A2G2A2B2A2G2A2|d4e2A2G4G2A2|GAF2F2A2G2F2F2A2|A2G2d2G2d2F2A2B2|d2A2G2ABB2A2G2A2|d4e2A2A2G2G2A2|d4B2GAB2d2f2d2|A2d2d2e2d2B2d4|B2d2B4A2d2e4|d4e2A2AG3FGA2|dBd2B2A2Bd3f2d2|A2d2d2e2d2B2d4|B2d2B4A2d2e4|d4e2ABG2AGGFG2
585,"F,2D2E2D2E2F,2E,4|E,4F,4G2D2B2A2|E2F2F2D2D3ED2E,2|F,4F,2F2G2D2E2F,2|F,2D2E2D2E2F,2E,4|E,4F,4GFD2GA2G|DEGFF2D2D2E2D2E,2|F,4F,2F2A2D2D4|D4E2D2E2D2F,4|E,F,D2D2F2E2F,2E2A2|d2BAF4E2DED2F,2|F,4F,2F2G2D2E2F,2|D4E2D2E2D2F,4|F,2D2E3FEDF,2D4|F2B2EF3E2D2D2F,2|D2F,2F,2EDF,4E,4"
586,B2G2G2F2A2G2A2d2|d2B2e2g2e2A2G2A2|B2G2G4deG2A2B2|d2A2B2A2FGF2E2G2|B2G2G2F2A2G2A2d2|d2B2e2g2e2A2G2A2|B2G2G2A2d4B2e2|B4AGF2F2E2EFG2|B2G2G2F2A2G2A2d2|d2B2e2g2e2A2G2A2|B2G2G3Ad2G2AGB2|B2A2B2A2G2F2E2A2|B2G2G2F2ABG2A2d2|d2B2e2g2e2A2G2A2|B2G2G2A2dBd2B2d2|B4A2F2F3GG4
587,"D4E2DEF2E2G2E2|F2D2D2F,2F,D3F2D2|D2E2FEF2F4E2D2|D4D2F,2F,2D2F,2D2|D4E4F2E2G2E2|F2D2D2F,2D4F2D2|D2F2G3FA4ABAB|BAGAA4D4FEB2|D4E4F2E2G2E2|F2D2D2F,2D4F2D2|D2E2F4F4EFD2|D2F,DD2F,2F,2D2F,2D2|D4E4F2E2G2E2|F2D2D2F,2D4F2D2|D2E2F2GAB2A2B2dB|A4dBG2D3EE2F2"
588,f2g2f4d2B2B2A2|ede2g2e2f2g2f2e2|e2d2ABA2A4FGE2|A2FGe2d2e2dBd2B2|f2g2f4d2B2B2A2|e4g2e2f2g2e2f2|deBAA2B2d2eff2e2|B2d2B2FGd2B2B2dB|e2g2f4d2B2B2A2|e4g2e2g4f2e2|e2d2B2GAA4FGE2|A2F2ded2e2dBB2d2|e2g2f4deB2B2A2|ede2g2e2f4dBe2|B2GFG4d2B2e2dB|d4B2A2dB2AB2A2
589,"B2E2B2D2F2D2D2E2|E2D2D2F,2D2E,2E,4|E2D2D2F,2E4E2F2|A2d2B4E2F2G2B2|B2E2B2D2F2D2D2E2|E2D2D2F,2D2F,2E,4|E2D2D3F,EDE2E2F2|A2d2B4EF3G2B2|B2E2BADEF2D2D2E2|E2D2D2F,2F,DF,2E,4|E2D2E2D2E4E2F2|A2d2B4E2F2G2B2|B2E2B2E2F2D2D2E2|E2D2D2F,2D2F,2E,4|D4D4E4E2F2|A2d2BA3EFE2F2Bd"
590,"E,2F,2D2E2D2E2E2G2|D2F,2F,4B2A2B4|D2G2F4FGE2FEG2|A4A2G2A2FGD4|E,2F,2D2E2E4E2G2|D2F,2F,4B2A2B3A|D2G2E4F2d2E2GA|AGE2E2F2E2D2D4|E,2F,2D2E2E4E2G2|D2F,2DF,3B2A2B3A|D2F2F4F2E2E2GA|AGA2A4A2G2D4|E,2F,2D2E2E4E2G2|D2F,2D2F,2B2A2B2A2|D2E2D4A2BAAGB2|d2A2G2F2E4E2FE"
591,d2A2d4e2g2g4|d4f2g2e2B2A2d2|g2d2f2A2f4g2e2|A2BAB3dA2G2D2GF|d2B2d4e2g2g4|d4f2g2e2B2A2d2|F2BdGFf2gfg2g4|g2e2d3Bd3BA4|e2f2f4f4e2g2|f2Bdf2g2e2B2A2de|g2e2g2B2f4fged|AGB2B4B4D2FE|e2f2f4e4e2fg|feB2f2g2e2B2G2d2|d2AGBdg2g4g4|g4d4d4f2B2
